Product name,type of product,country of origin,description,state
Kashmir Pashmina,Non Food Products Animal-based fibres and textile / Fabric,India,Kashmir Pashmina is a traditional textile craft known for its fine quality and adaptability in garment design. It reflects the heritage and skill of Kashmiri artisans and contributes significantly to exports. The craft continues to evolve while maintaining its cultural significance and high demand in fashion.,
Kashmir Sozani Craft,Non Food Products Animal-based fibres and textile / Embroidery,India,"Kashmir Sozani is a fine embroidery craft characterized by minute couching stitches used for outlining and filling motifs. Designs feature flora and fauna of the Kashmir Valley, such as chinar leaves, flowers, and fruits, using a subtle multi-colour palette known as Sofiyana Rang. Patterns include borders, butis, jaali (net-like designs), jamawar-style dense fillings, and large motifs like kunj. The process involves tracing designs onto fabric, filling them with fine stitches using dyed yarns, followed by washing and finishing to enhance lustre.",
Kashmir Walnut Wood Carving,Non Food Products Wooden products / Carving wood craft,India,"Kashmir walnut wood carving is a traditional craft developed over centuries and refined during the late 19th century with European influence. Using walnut wood (Juglans regia), known for its hardness, fine grain, and texture, artisans create detailed carvings featuring motifs inspired by local flora and fauna. The craft gained prominence under royal and colonial patronage and became an important export industry centered in Srinagar. Production involves seasoning wood for long periods, shaping by carpenters, detailed hand carving by skilled artisans, and finishing through polishing, resulting in decorative and functional objects.",
Kashmiri Hand Knotted Carpet,Non Food Products Animal-based fibres and textile / Carpet,India,"Kashmiri hand-knotted carpets originated in the 14th century with the introduction of skilled artisans by Mir Syed Ali Hamdani and flourished under Sultan Zain-ul-Abidin. These carpets are woven using a unique coded system called Taleem, which guides knotting patterns and colours. They feature intricate oriental and floral designs with motifs such as paisley, chinar tree, and tree-of-life. Made from combinations of silk, wool, and cotton, they are known for subtle colours and detailed craftsmanship. Production is carried out by skilled weavers, often working from home or in small units across Kashmir.",
Kasuti Embroidery,Non Food Products Vegetal-based fibres and textile / Embroidery,India,"Kasuti Embroidery is a traditional hand embroidery form from Karnataka known for its intricate geometric patterns created using simple stitches without knots. Often worked on cotton fabrics, it features motifs inspired by temples, animals, and everyday life.",Karnataka
Kathputlis of Rajasthan,Non Food Products Wooden products / Puppet,India,"Kathputlis of Rajasthan are traditional string puppets originating from the Nagaur district, used for entertainment, storytelling, and social commentary for generations. They are unique in that the strings are directly controlled by the puppeteer’s fingers without a control device, allowing complex movements. Puppets typically use 2 to 8 strings depending on size and function, and lack jointed hands. Production involves multiple steps including shaping and carving wooden parts such as the face using traditional tools and techniques.",Rajasthan
Khandua Saree and Fabrics,Non Food Products Vegetal-based fibres and textile / Fabric,India,"Khandua Saree and Fabrics are traditional handwoven textiles from Odisha made primarily from cotton or silk. Known for their tie-dye techniques and traditional motifs, these fabrics often feature inscriptions and cultural symbols woven into the design.",Odisha
Khatamband,Non Food Products Wooden products / Building material,India,"Khatamband is a traditional Kashmiri woodcraft used for ceilings and interior paneling, made by fitting small, intricately carved wooden pieces into grooved battens without nails or glue. The designs are based on geometric tessellations rooted in Islamic tradition and have a strong mathematical foundation. The structure is durable, reusable, and can be dismantled. Production is labour-intensive, involving seasoning wood, preparing geometric components, and assembling them using precise joinery techniques guided by master design scales passed through generations.",
Khurja Pottery,Non Food Products Processed minerals / Pottery,India,"Khurja Pottery is a renowned ceramic craft from Uttar Pradesh known for its brightly colored glazed pottery. Made using refined clay and fired in kilns, the products include decorative and utilitarian items featuring floral and geometric designs.",Uttar Pradesh
Kinhal Toys,Non Food Products Wooden products / Toys,India,"Kinhal toys are a traditional craft from Karnataka associated with the Vijayanagar Empire, inspired by temple art and supported by royal patronage. The craft uses wood combined with materials like tamarind seed paste (sari), adhesive mixtures (kitta), and surface coatings (bilidu) to shape and finish toys. Artisans apply cloth layers, natural and synthetic colours, and detailed painting, often using handmade brushes. The process includes assembling components, coating, smoothing, painting, and varnishing, resulting in decorative and durable folk toys.",Karnataka
Kinnauri Shawl,Non Food Products Animal-based fibres and textile / Wool shawl,India,"Kinnauri shawls are traditional textiles from Himachal Pradesh, woven as an integral part of daily life in Kinnaur households. They are made from various types of wool including local sheep wool, pashmina, and angora, as well as synthetic yarns. Weaving is done on pit looms or fly shuttle looms, with processes involving yarn preparation, warping, and weaving. The shawls are known for their intricate patterns and use of high-quality wool suited to cold climates.",Himachal Pradesh
Kolhapuri Chappal,Non Food Products Leather and leather based products / Footwear,India,"Kolhapuri chappals are traditional handmade leather footwear originating from Maharashtra and Karnataka, with historical roots tracing back to the 12th century. Made from vegetable-tanned leather using eco-friendly processes, they are known for durability, water resistance, and comfort. Production involves tanning hides with natural materials like babul bark and myrobalan, followed by pattern making, cutting, shaping, stitching, and finishing. The craft is practiced by artisan communities and combines functionality with aesthetic appeal.",Karnataka
Konark Stone carving,Non Food Products Extraction / Carving stone,India,"Konark stone carving is a traditional craft from Odisha with origins dating back to the 6th–7th century, associated with temple architecture such as the Sun Temple. It uses materials like serpentine stone, sandstone, and granite, with serpentine being distinctive for its color and texture. The carvings often depict Odissi dance poses and traditional motifs. Production involves shaping stone blocks, rough carving, detailed chiseling, and finishing through polishing, using manual tools and techniques.",Odisha
Kondapalli Bommallu,Non Food Products Wooden products / Toys and figures,India,"Kondapalli Bommallu are traditional wooden toys and figurines from Andhra Pradesh made using soft wood and natural dyes. Crafted by skilled artisans, these figures depict mythological scenes, rural life, and animals, reflecting cultural storytelling traditions.",Andhra Pradesh
Kosa silk Saree and Fabrics of Janjgir-Champa and Raigarh region,Non Food Products Animal-based fibres and textile / Fabric,India,"Kosa silk sarees from the Janjgir-Champa and Raigarh regions are traditionally woven textiles associated with tribal and handloom weaving communities, though the sector faces challenges due to limited institutional support.",
Kota Doria,Non Food Products Vegetal-based fibres and textile / Fabric,India,"Kota Doria is a traditional fabric from the Kota region of Rajasthan, with historical roots in fine cotton weaving that evolved into its distinctive check-patterned textile. The fabric is known for its lightweight, sheer texture and unique ‘khat’ check pattern created by combining cotton and silk yarns. It is woven on traditional pit looms using manual processes such as winding, warping, dyeing, sizing with natural onion-based starch, drafting, and weaving. The technique requires high skill to produce the characteristic square checks and soft yet textured finish.",Rajasthan
Kotpad Handloom fabric,Non Food Products Vegetal-based fibres and textile / Textile,India,"Kotpad Handloom Fabric is a traditional textile from Odisha woven using natural vegetable dyes derived from local roots. Known for its earthy tones and tribal motifs, the fabric is produced on handlooms and reflects indigenous weaving practices.",Odisha
Kovai Kora Cotton Sarees,Non Food Products Vegetal-based fibres and textile / Cotton sarees,India,"Kovai Kora cotton sarees originate from Coimbatore and are traditionally woven by the Devangar community, with historical links to the Vijayanagar Empire. These sarees combine silk warp and cotton weft, creating a distinctive blended fabric. Production involves processes such as yarn winding, dyeing, warp preparation, and weaving, with detailed work on pallu and motif designs. The sarees are known for their variety of colours, patterns, and the integration of ornamental motifs.",
Kullu Shawl,Non Food Products Vegetal-based fibres and textile / Woolen fabric,India,"Kullu Shawls are traditional woolen textiles from Himachal Pradesh woven using sheep wool and known for their warmth and durability. Characterized by colorful geometric borders and intricate patterns, these shawls reflect the rich cultural heritage of the Kullu valley.",Himachal Pradesh
Kutch Embroidery,Non Food Products Vegetal-based fibres and textile / Embroidery,India,"Kutch Embroidery is a traditional embroidery craft from Gujarat known for its intricate stitches, mirror work, and vibrant colors. Practiced by various communities, it features geometric and floral motifs and is used to decorate garments, textiles, and accessories.",Gujarat
Kuthampally Dhoties & Set Mundu,Non Food Products Vegetal-based fibres and textile / Cotton fabric,India,"Kuthampally Dhoties and Set Mundu are handwoven cotton textiles from Kerala produced using traditional weaving techniques. Known for their fine texture, durability, and characteristic kasavu borders, these garments are widely used in traditional attire.",Kerala
Kuthampully Sarees,Non Food Products Vegetal-based fibres and textile / Cotton sarees,India,"Kuthampully sarees are traditional handloom textiles from Kerala associated with the Cochin dynasty and regional cultural practices. They are woven using fine count cotton yarns and are known for their quality craftsmanship and cultural significance in religious and festive occasions. Production involves processes such as winding, motif creation, weaving, and finishing, with quality inspection carried out by master weavers and supported by textile institutions.",Kerala
Lahaul Socks and Gloves,Non Food Products / Animal-based fibres and textile / Woolen fabric - handicraft,India,"Lahaul Socks and Gloves are handmade woolen products from Himachal Pradesh crafted using sheep and yak wool. Designed to provide insulation in cold climates, they feature traditional patterns and are knitted using indigenous techniques.",Himachal Pradesh
Leather Toys of Indore,Non Food Products Leather and leather based products / Toys,India,"Leather Toys of Indore are handcrafted items made from treated leather and natural dyes. These toys often depict animals and traditional figures, known for their durability, lightweight nature, and vibrant hand-painted designs.",
Lucknow Chikan Craft,Non Food Products Vegetal-based fibres and textile / Embroidery,India,"Lucknow Chikan craft is a traditional embroidery technique from Uttar Pradesh, characterized by delicate hand embroidery on fabric using fine stitches to create intricate floral and geometric patterns.",Uttar Pradesh
Lucknow Zardozi,Non Food Products Vegetal-based fibres and textile / Embroidery,India,"Lucknow Zardozi is a traditional embroidery craft characterized by intricate metallic thread work, often using gold and silver threads to create elaborate decorative patterns on textiles.",
Machilipatnam Kalamkari,Non Food Products Animal-based fibres and textile / Fabric,India,"Machilipatnam Kalamkari is a traditional hand block printing craft from Andhra Pradesh with historical roots linked to Golconda rule and international trade. It uses natural dyes derived from plant sources and involves processes such as bleaching, washing, dyeing, and resist printing. The craft is known for intricate Persian-influenced motifs, stylized flora and fauna, and a distinctive colour palette dominated by black, red, blue, yellow, and green. The quality of local water contributes to the vibrancy of colours.",Andhra Pradesh
Maddalam of Palakkad,Non Food Products Leather and leather based products / Percussion instrument,India,"Maddalam is a traditional percussion instrument from Kerala, dating back to the 13th century and used in temple arts such as Kathakali and Panchavadyam. Made from a single block of jackfruit wood, it is hollowed into a cylindrical shape and fitted with cow and buffalo leather membranes. The instrument produces distinctive tones through a central black paste application and is crafted using specialized tools and techniques involving carving, shaping, and leather stretching.",Kerala
Madhubani Paintings,Non Food Products Others / Painting,India,"Madhubani paintings originate from the Mithila region and are a traditional art form reflecting the cultural heritage of the area, historically used to decorate textiles and household items.",
Madur Kathi,Non Food Products Vegetal-based fibres and textile,India,"Madur Kathi is a traditional mat-weaving craft from West Bengal with origins tracing back to ancient India and references in early literature. It uses natural reed (Cyperus species) grown in swampy regions, processed into strips, dyed with natural vegetable dyes, and woven on looms. Different types such as ekrokha, dorokha, and masland vary in complexity and quality. The craft involves skilled manual weaving, often by multiple artisans, and features geometric and floral designs.",West Bengal
Madurai Malli,Non Food Products Others / Flower,India,"Madurai Malli is a variety of jasmine cultivated in the Madurai region, with historical references in ancient Tamil literature. It is known for its strong fragrance, thick petals, long shelf life, and suitability for garland making. The flowers are used in religious, cultural, and social contexts and can be preserved for longer durations compared to other varieties.",
Madurai Sungudi,Non Food Products Vegetal-based fibres and textile / Cotton sarees,India,"Madurai Sungudi sarees are traditional cotton textiles from Tamil Nadu, dating back to the Nayak period. They are made using a unique tie-and-dye technique where intricate knots are tied on the fabric before dyeing, often exceeding thousands per saree. The process involves handcrafting by skilled artisans, with vegetable or chemical dyes and fine cotton yarns. The sarees are lightweight, breathable, and known for distinctive patterns, vibrant colours, and cultural significance.",Tamil Nadu
Mahabalipuram Stone Sculpture,Non Food Products Processed minerals / Stone carving product,India,"Mahabalipuram Stone Sculptures are traditional carvings from Tamil Nadu made using granite and other stones. Crafted by skilled artisans, these sculptures often depict deities, mythological figures, and temple art inspired by ancient Dravidian architecture.",Tamil Nadu
Maheshwar Sarees & Fabrics,Non Food Products Vegetal-based fibres and textile / Sarees,India,"Maheshwar sarees and fabrics are traditional handloom textiles from Madhya Pradesh with a history of over 250 years, associated with the reign of Queen Ahilyabai Holkar. Made using silk, cotton, and zari, the production involves processes such as yarn selection, dyeing, warping, and weaving on handlooms. The sarees are known for their distinctive borders, lightweight texture, and fine craftsmanship.",Madhya Pradesh
Makrana Marble,Non Food Products Extraction / Marble,India,"Makrana Marble is a high-quality white marble from Rajasthan known for its purity, strength, and fine texture. Widely used in architecture and sculpture, it is notably used in the construction of historic monuments such as the Taj Mahal.",Rajasthan
Mangalagiri Sarees and Fabrics,Non Food Products Vegetal-based fibres and textile / Cotton fabric,India,"Mangalagiri sarees and fabrics are traditional cotton textiles from Andhra Pradesh, known for their durable, soft texture and characteristic Nizam borders with geometric designs. Made using 80s count cotton yarn on pit looms, they feature tightly woven structures that provide sheen and strength. The fabrics typically lack body motifs and emphasize borders, with occasional check patterns created through yarn arrangement. Production involves processes such as yarn purification, dyeing, winding, sizing with rice starch, and weaving on pit looms using skilled manual techniques.",Andhra Pradesh
Manjusha Art,Non Food Products / Others,India,"Manjusha Art is a traditional folk painting style from Bihar characterized by bold lines, vibrant colors, and mythological themes. Typically created on paper or walls, it depicts stories associated with local folklore and religious narratives.",Bihar
Mau Saree,Non Food Products / Vegetal-based fibres and textile / Sarees - handicraft,India,"Mau Sarees are traditional textiles from Uttar Pradesh known for their fine weaving and use of silk and cotton yarns. These sarees often feature intricate patterns, zari work, and are valued for their craftsmanship and elegance.",Uttar Pradesh
Meerut Scissors,Non Food Products Metal / Scissors,India,"Meerut scissors are traditional cutting tools from Uttar Pradesh with a history of over 140 years, known for durability, sharpness, and affordability. Made primarily from carbon steel or mild steel, often using recycled scrap metal, they can be resharpened and have a long lifespan. Production involves processes such as melting and shaping metal, forging or press cutting, assembling blades and handles, and finishing with plating or polishing.",Uttar Pradesh
Mirzapur Handmade Dari,Non Food Products Vegetal-based fibres and textile / Carpet,India,"Mirzapur handmade dari is a traditional woven floor covering from Uttar Pradesh, with origins linked to Mughal-era carpet weaving influenced by Persian designs. Made using cotton and wool yarns, the production involves design preparation, dyeing, warping, and weaving on looms using techniques such as the panja method. The finished products are used as floor coverings, mats, and upholstery, reflecting skilled craftsmanship passed down through generations.",Uttar Pradesh
Mirzapur Pital Bartan,Non Food Products / Metal / Metal handicraft - handicraft,India,"Mirzapur Pital Bartan refers to traditional brass utensils crafted in Uttar Pradesh using casting and hammering techniques. Known for their durability and utility, these items include household vessels and decorative pieces reflecting local craftsmanship.",Uttar Pradesh
Mizo Puanchei,Non Food Products Vegetal-based fibres and textile / Fabric,India,"Mizo Puanchei is a traditional textile from Mizoram, evolved from the earlier Puanlaisen and known for its vibrant colours and intricate motifs. It is worn by women on special occasions and cultural performances such as the Cheraw dance. Traditionally woven on loin looms using cotton yarn dyed with natural substances, the fabric features warp-faced weaving with supplementary yarns for designs, though modern production also uses handlooms and synthetic or silk yarns.",Mizoram
Moirang Phee,Non Food Products Vegetal-based fibres and textile / Fabric,India,"Moirang Phee is a traditional textile from Manipur, featuring designs inspired by the ‘Pakhangba’ motif of local mythology. It is woven by women using extra weft techniques on loin, throw shuttle, or fly shuttle looms, producing distinctive patterned fabrics rooted in cultural traditions.",Manipur
Molakalmuru Sarees,Non Food Products Vegetal-based fibres and textile / Sarees,India,"Molakalmuru sarees are traditional silk textiles known for their distinctive contrast between the body and the border and pallu. The weaving uses multiple shuttles to create contrasting colours, with techniques such as Korvai used for border weaving. These sarees are produced using skilled handloom weaving and have a strong regional reputation.",
Moradabad Metal Craft,Non Food Products Metal / Craft,India,"Moradabad metal craft is a traditional industry known for brass and metal handicrafts, with historical influences from Persian, Turkish, and Egyptian designs. Production primarily uses sand casting, where molten metal is poured into molds, followed by processes such as chiseling, shaping, polishing, and electroplating. The craft involves both manual and mechanized techniques to produce decorative and functional metal items.",
Muga Silk of Assam,Non Food Products Animal-based fibres and textile / Silk,India,"Muga silk is a traditional textile of Assam with historical use dating back to ancient times, produced from the silkworm Antheraea assamensis in the Brahmaputra Valley. Known for its natural golden-yellow colour, glossy texture, durability, and high tensile strength, its sheen increases with washing. Production involves rearing silkworms on host plants such as som and soalu, collecting cocoons, boiling and reeling fibres, followed by processes like starching, winding, warping, and weaving into fabrics.",Assam
Mysore Agarbathi,Non Food Products Other vegetal-based products / Incense stick,India,"Mysore Agarbathi is a traditional incense stick produced in Karnataka using natural ingredients such as sandalwood, resins, and aromatic oils. Known for its soothing fragrance and long-lasting aroma, it is widely used in religious rituals and meditation practices.",Karnataka
Mysore Malligae,Non Food Products Others / Jasmine flower,India,"Mysore Malligae is a jasmine variety cultivated in Karnataka with historical use dating back centuries, known for its strong and long-lasting fragrance. Grown mainly in the Mysore and surrounding regions, its unique aroma is attributed to local geographical conditions and genetic characteristics. The flowers are widely used for garlands, especially in cultural and ceremonial occasions.",Karnataka
Mysore Rosewood Inlay,Non Food Products Wooden products / Craft,India,"Mysore Rosewood Inlay is a traditional woodcraft from Karnataka involving intricate inlay work on rosewood surfaces using materials like ivory substitutes, bone, and colored wood. The craft features detailed patterns depicting floral designs, landscapes, and mythological scenes.",Karnataka
Mysore Sandal soap,Non Food Products Other vegetal-based products / Soap,India,"Mysore Sandal Soap is a traditional soap manufactured since 1918 in Karnataka, using pure vegetable oils and natural sandalwood oil. Known for its distinctive fragrance and quality, the production involves saponification of oils and fats with caustic soda, followed by drying, mixing with perfumes and additives, extrusion, cutting, and packaging. The soap is recognized for its biodegradable composition and long-lasting sandalwood aroma.",Karnataka
Mysore Sandalwood Oil,Non Food Products Other vegetal-based products / Oil,India,"Mysore Sandalwood Oil is a traditional product originating from Karnataka since 1918, extracted from sandalwood grown in the region’s unique forest conditions. Known for its distinctive aroma and long-lasting fragrance, the oil is produced through processing and distillation of sandalwood, maintaining its high quality and global reputation.",Karnataka
Mysore Silk,Non Food Products Animal-based fibres and textile / Silk,India,"Mysore silk is a traditional silk textile from Karnataka with origins dating back to the early 20th century, known for its quality and association with regulated production by state-run institutions.",Karnataka
Mysore Traditional Paintings,Non Food Products Others / Painting,India,"Mysore Traditional Paintings are classical artworks from Karnataka known for their elegance, muted colors, and fine detailing. Typically depicting Hindu deities and mythological themes, these paintings use natural pigments and gold leaf work on prepared surfaces.",Karnataka
Nachiarkoil Kuthuvilakku (‘Nachiarkoil Lamp’),Non Food Products Metal / Lamp,India,"Nachiarkoil Kuthuvilakku is a traditional brass lamp from Tamil Nadu made using sand casting and wax moulding techniques. It involves preparing moulds from local sands, casting metal parts, assembling components through soldering, and finishing with shaping, polishing, and engraving. The craft uses materials like brass and clay cores, and requires skilled manual processes to produce decorative and functional lamps.",Tamil Nadu
Nakshi Kantha,Non Food Products Vegetal-based fibres and textile / Fabric,India,"Nakshi Kantha is a traditional embroidery craft of Bengal made by layering old sarees or cloth and stitching them together with running stitches. It features intricate motifs of flora, fauna, and daily life, reflecting cultural and social themes. Traditionally created by women using recycled threads, each piece is unique and represents personal expression and regional heritage.",
Narayanpet Handloom Sarees,Non Food Products Vegetal-based fibres and textile / Sarees,India,"Narayanpet sarees are characterized by a distinctive check pattern, with no additional floral, fauna, or other motifs. Their production follows a traditional weaving process unique to the region.",
Navalgund Durries,Non Food Products Vegetal-based fibres and textile / Carpet,India,"Navalgund Durries are handwoven flat carpets from Karnataka made using cotton yarn on traditional looms. Known for their geometric patterns, durability, and reversible designs, these durries are commonly used as floor coverings and decorative textiles.",Karnataka
Ngotekherh,Non Food Products Vegetal-based fibres and textile / Cloth,India,"Ngotekherh is a traditional Mizo puan (cloth) historically worn by men and later by both genders, mainly during festivals and cultural occasions. Originating around the 18th century, it is woven with a white base and black stripes using loin or frame looms. Earlier made from homespun cotton dyed with natural dyes, modern versions use synthetic or acrylic yarns. The fabric features warp-faced plain weave with intricate techniques to conceal white weft under black warp, requiring high skill. Its quality is judged by the absence of white streaks, precision of stripes, and smoothness. The cloth is culturally significant and reflects traditional Mizo weaving practices.",
Nilambur Teak,Non Food Products Wood / Teak,India,"Nilambur teak, sourced from plantations in Kerala, is historically significant as a major supplier of timber for British naval shipbuilding. Derived from Tectona grandis, it is known for its golden yellow to brown color, durability, stability, and resistance to weather, termites, and decay due to natural compounds like tectoquinone and naphthoquinone. The wood has high extractive content, straight grain, and excellent workability, making it ideal for shipbuilding, furniture, and structural uses. Its superior strength and dimensional stability have earned it global recognition.",Kerala
Nirmal Furniture,Non Food Products Wooden products / Furniture,India,"Nirmal furniture originated in the 17th century and later expanded to Hyderabad due to increased demand. Crafted from teak wood, the process involves carving, smoothing, priming, varnishing, and decorating with distinctive gold floral designs made using imported gold powder mixed with varnish. The furniture reflects a Nawabi aesthetic and is produced using traditional skills passed down through generations.",
Nirmal Paintings,Non Food Products Wooden products / Painting,India,"Nirmal paintings, developed since the 17th century and later expanded to Hyderabad, are created on wooden boards with a smooth, polished finish. The process involves preparing a teak wood frame, applying primer and lapam, and using synthetic colors. Designs are traced rather than freehand using perforation and chalk techniques, followed by detailed color filling. The paintings are known for their glossy finish and distinctive style.",
Nirmal Toys and Crafts,Non Food Products Wooden products / Toys,India,"Nirmal toys are traditionally crafted in Nirmal town of Adilabad district, Andhra Pradesh. The production is concentrated in specific villages within the region, where artisans have practiced this craft for generations.",Andhra Pradesh
Nizamabad Black Pottery,Non Food Products Processed minerals / Pottery,India,"Nizamabad Black Pottery is a distinctive craft from Uttar Pradesh characterized by its glossy black finish and engraved silver designs. Made from locally sourced clay and fired in a reducing kiln, the pottery is both decorative and functional.",Uttar Pradesh
Orissa Ikat,Non Food Products Vegetal-based fibres and textile / Fabric,India,"Orissa Ikat is a traditional resist-dye textile technique from Odisha where yarns are dyed before weaving to create intricate patterns. Known for its blurred edges and complex motifs, it is widely used in sarees and fabrics.",Odisha
Orissa Pattachitra,Non Food Products Vegetal-based fibres and textile / Painting cotton,India,"Pattachitra is a traditional painting art from Odisha with ancient origins, named after cloth-based scrolls (patis). The process involves preparing treated cloth canvases using natural materials and executing detailed paintings, often depicting mythological themes. The production is carried out through a structured multi-step process rooted in traditional techniques.",Odisha
Paithani Sarees and Fabrics,Non Food Products Animal-based fibres and textile / Fabric,India,"Paithani Sarees and Fabrics are luxurious silk textiles from Maharashtra known for their rich zari work and intricate motifs inspired by nature. Handwoven using fine silk and gold threads, these sarees are valued for their craftsmanship and vibrant colors.",Maharashtra
Patan Patola,Non Food Products Vegetal-based fibres and textile / Silk sarees,India,"Patan Patola is a traditional double ikat silk weaving technique from Gujarat where both warp and weft threads are resist-dyed before weaving. Known for its precision, vibrant colors, and geometric patterns, it is considered one of the most intricate textile crafts in India.",Gujarat
Pattamadai Pai (‘Pattamadai Mat’),Non Food Products Vegetal-based fibres and textile / Mat,India,"Pattamadai mats are traditionally woven in Tamil Nadu using fine korai grass (Cyperus corymbosus) that grows along the Tamiraparani river, whose water, soil, and climate contribute to the grass’s quality. The craft originated with local artisans and evolved through generations, producing exceptionally fine mats that can be folded like cloth. The process involves harvesting, drying, splitting, dyeing, and weaving the grass on floor looms using a basket weave technique. Skilled craftsmanship produces soft, silk-like mats, with quality determined by the fineness of strands and weave density.",Tamil Nadu
Pawndum,Non Food Products Vegetal-based fibres and textile / Cotton cloth,India,"Pawndum is a traditional Mizo cloth with deep cultural significance, historically used in rituals, ceremonies, and daily life. Originating around the 18th century, it evolved from simple white cloth to designs with black, red, and later multicolored bands using natural dyes. Traditionally woven by women on loin looms using homespun cotton, modern versions use synthetic yarns and advanced looms. It features a warp-faced plain weave with multicolored bands on a dark background. The cloth is used in festivals, dances, marriage customs, and funeral rites, reflecting its cultural importance.",
Payyannur Pavithra Ring,Non Food Products Metal / Jewellery,India,"Payyannur Pavithra Ring is a traditional ornament crafted by artisans under the guidance of hereditary families, with its production continuing through established cultural practices.",
Pembarthi Metal Craft,Non Food Products Metal / Craft,India,"Pembarthi metal craft is an ancient brass craft from Telangana, known for its intricate designs and long history. The process involves preparing a lac base (lakka), fixing metal sheets, sketching and carving designs using specialized tools, followed by acid cleaning, filing, and polishing. Artisans use skilled techniques, including soldering and detailing, to create decorative items with fine craftsmanship.",Telangana
Pethapur Printing Blocks,Non Food Products Wooden products / Printing blocks,India,"Pethapur printing blocks are traditional hand-carved wooden blocks from Gujarat, historically used for textile printing and associated with trade in Saudagiri fabrics. Made primarily from teak wood, the blocks are crafted through processes including seasoning, design tracing, engraving, and oil treatment for durability. Designs often feature geometric and floral motifs, requiring high precision and skilled craftsmanship. The craft, practiced for around two centuries, is known for its intricate workmanship and cultural significance.",Gujarat
Phulkari,Non Food Products Animal-based fibres and textile / Silk embroidery,India,"Phulkari is a traditional embroidery style from Punjab characterized by dense floral patterns stitched using silk threads on coarse cotton fabric. The craft is known for its vibrant colors and is commonly used in shawls, dupattas, and garments.",Punjab
Pipli Applique Work,Non Food Products Vegetal-based fibres and textile / Craft,India,"Pipli appliqué work from Odisha is a traditional craft associated with the Jagannath temple, practiced mainly by the Darji community in Pipli and Puri. Historically used for religious canopies and festival items, the craft involves intricate patchwork and embroidery using techniques such as chain stitch and hemstitch. It is labor-intensive and reflects high technical skill and creativity, with its development closely linked to temple traditions.",Odisha
Pochampalli Ikat,Non Food Products Vegetal-based fibres and textile / Fabric,India,"Pochampalli Ikat is a traditional textile from Telangana made using cotton or silk yarns that are tied and dyed before weaving. The process involves precise tying, dyeing, and loom weaving to create characteristic patterns, typically featuring diamond or geometric motifs with diffused edges. The craft requires advanced skill in pattern visualization and coordinated teamwork, resulting in distinctive designs produced through traditional resist-dyeing techniques.",Telangana
Pokaran Pottery,Non Food Products Processed minerals / Pottery,India,"Pokaran pottery from Rajasthan includes both glazed and unglazed terracotta products made by traditional potter communities. Originally focused on household items like matkas and kulhars, the craft has expanded to decorative items such as vases, planters, and figurines. It is characterized by a distinctive light pink to near-white color achieved through careful processing of clay, including grinding, sieving, and kiln firing. The products combine utility and aesthetic appeal and are widely used in rural and urban settings.",Rajasthan
Puneri Pagadi,Non Food Products Vegetal-based fibres and textile / Turban,India,"Puneri Pagadi is a traditional headgear from Maharashtra dating back to the 17th century, historically made by Kostis. Typically made from cotton, and sometimes silk or satin, it features a structured form with elements like Koka, Jartar, and Jari decorations. The pagadi is prepared using starched fabric shaped manually, ensuring durability for limited use. Its distinct style, including the positioning of decorative elements, reflects cultural identity and traditional craftsmanship.",Maharashtra
Purulia Chau Mask,Non Food Products Processed minerals / Masks,India,"Purulia Chau masks from West Bengal are integral to the Chau dance tradition and depict mythological characters through vivid colors and expressive designs. Made using clay, paper, cloth, and natural materials, the process involves creating a clay mold, layering with paper and cloth, shaping features, drying, and applying zinc oxide before painting and decoration. Masks are adorned with beads, feathers, foil, and other materials, with colors and expressions representing specific characters. The craft reflects local culture, skilled artistry, and traditional techniques passed through generations.",West Bengal
RajKot Patola,Non Food Products Vegetal-based fibres and textile / Sarees,India,"Rajkot Patola is a single ikat silk weaving tradition from Gujarat where either warp or weft threads are resist-dyed to create patterns. Known for its vibrant designs and comparatively simpler technique than double ikat, it is widely used in sarees and dress materials.",Gujarat
Saharanpur Wood Craft,Non Food Products Wooden products / Craft,India,"Saharanpur wood craft is a traditional carving industry in Uttar Pradesh known for intricate designs on woods like sheesham, teak, and mango. The craft includes carved, inlaid, and engraved products such as furniture, decorative items, and utility goods. It combines traditional floral and nature-inspired motifs with influences from other regional styles. The process involves seasoning wood, carving, engraving, and finishing, with both handcrafted and machine-assisted techniques used for domestic and international markets.",Uttar Pradesh
Salem Fabric,Non Food Products Vegetal-based fibres and textile / Fabric,India,"Salem fabric is part of a long-standing textile tradition in Tamil Nadu, associated with continuous production over centuries.",Tamil Nadu
Salem Silk,Non Food Products Animal-based fibres and textile / Silk,India,"Salem silk is a traditional textile from Tamil Nadu with a long history linked to regional weaving communities. Known for its lustrous white silk dhoties, the fabric’s quality is attributed to local water used in processing, which enhances its sheen. Produced using fly shuttle and throw shuttle looms, the silk incorporates materials such as silk yarn, zari, and colored threads. The weaving requires precision to achieve dense texture and distinctive bordered designs.",Tamil Nadu
Sambalpuri Bandha Saree & Fabrics,Non Food Products Vegetal-based fibres and textile / Cotton sarees,India,"Sambalpuri Bandha textiles from Odisha are created using a traditional tie-and-dye (ikat) technique where designs are formed on yarn before weaving. The craft features intricate geometric and curvilinear motifs such as flowers, animals, and cultural symbols, often visible on both sides of the fabric. Both single and double ikat styles are practiced using cotton and silk. The process is labor-intensive, involving precise tying, dyeing, and weaving, resulting in vibrant, detailed patterns.",Odisha
